Câu hỏi,Câu trả lời
"1.  Mặt trận Xô - Đức, mặt trận chủ yếu của Chiến tranh thế giới thứ hai, diễn ra trong khoảng thời gian nào? A. 1939-1943 B. 1941-1945 C. 1941-1944 D. 1939-1945",B
2.  Sự kiện nào mở đầu Chiến tranh thế giới thứ hai? A. Đức tấn công Ba Lan B. Đức tấn công Liên Xô C. Nhật Bản tấn công Trân Châu Cảng D. Italia tấn công Pháp,A
"3.  Chiến dịch ""Bão táp"" là mật danh của cuộc tấn công nào? A. Tấn công Ba Lan B. Tấn công Mátxcơva C. Tấn công Xtalingrat D. Tấn công Lêningrát",N/a
4.  Sự kiện nào đánh dấu bước ngoặt căn bản trong Chiến tranh thế giới thứ hai? A. Trận Mátxcơva B. Trận Trân Châu Cảng C. Trận Xtalingrat D. Mĩ tham chiến,C
5.  Liên Xô tuyên chiến với Nhật Bản vào thời gian nào? A. 6-8-1945 B. 7-12-1941 C. 8-8-1945 D. 14-8-1945,C
6.  Sự kiện nào đã đánh dấu sự hình thành Mặt trận Đồng minh chống phát xít trên phạm vi toàn thế giới? A. Hội nghị Têhêran B. Bản Tuyên bố Liên hợp quốc C. Hiệp ước Liên Xô - Mĩ D. Hiệp ước Anh - Liên Xô,B
"7.  Quốc gia nào bị Đức chiếm đóng đầu tiên trong giai đoạn ""Đức đánh chiếm các nước Bắc Âu và Tây Âu""? A. Ba Lan B. Đan Mạch C. Hà Lan D. Na Uy",B
8.  Hội nghị Ianta diễn ra vào thời gian nào? A. Tháng 10-1943 B. Tháng 2-1945 C. Tháng 7-1945 D. Tháng 11-1943,B
9.  Sự kiện nào đã buộc Nhật Bản phải đầu hàng không điều kiện? A. Liên Xô tham chiến B. Mĩ ném bom nguyên tử xuống Hirosima và Nagadaki C. Sự sụp đổ của phát xít Đức D. Tất cả các đáp án trên,D
"10. Theo văn bản, đâu là một trong những nguyên nhân dẫn đến thất bại của Pháp trong Chiến tranh thế giới thứ hai? A. Sự phản bội của giai cấp tư sản thống trị B. Sự thiếu chuẩn bị về quân sự C. Sự tấn công bất ngờ của Đức D. Tất cả các đáp án trên",D
